Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Unnamed:_5,Age,Age_Group,Role,Experience,Batting_Rating,Bowling_Rating,Fielding_Rating,Fitness,Overall_Rating
Joginder Sharma,1983-10-23,Right Hand,Right-Arm Fast-Medium,India,,42.0,40+,All-Rounder,96,66,90,79,68,79.45
Jp Duminy,1984-04-14,Left Hand,Right-Arm Offbreak,South Africa,,41.0,40+,Bowler,92,40,83,83,61,67.75
Jp Faulkner,1990-04-29,Right Hand,Left-Arm Fast-Medium,Australia,,35.0,31-35,Bowler,68,62,95,78,72,77.05
Jr Hopes,1978-10-24,Right Hand,Right-Arm Medium,Australia,,47.0,40+,Bowler,100,51,75,81,60,69.25
Jw Hastings,1985-11-04,Right Hand,Right-Arm Fast-Medium,Australia,,40.0,36-40,Bowler,88,45,95,71,84,72.65
K Ahmed,,Right Hand,Left-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,46,85,68,73,68.1
K Goel,1986-12-24,Left Hand,Right-Arm Offbreak,India,,39.0,36-40,Bowler,84,32,90,73,69,65.5
K Gowtham,,Right Hand,Right-Arm Offbreak,Unknown,,39.0,36-40,Bowler,84,60,86,84,75,75.85
K Khejroliya,,Right Hand,Left-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,57,88,73,66,73.4
K Paul,,Right Hand,Right-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,40,95,89,66,72.3
K Rabada,,Left Hand,Right-Arm Fast,Unknown,,39.0,36-40,Bowler,84,49,82,76,83,69.8
K Santokie,1984-12-20,Left Hand,Left-Arm Medium,West Indies,,41.0,40+,Bowler,92,60,76,68,79,70.95
K Upadhyay,1986-06-18,Right Hand,Right-Arm Medium,India,,39.0,36-40,Bowler,84,63,76,72,76,71.65
Ka Pollard,1987-05-12,Right Hand,Right-Arm Medium-Fast,West Indies,,38.0,36-40,All-Rounder,80,82,83,86,85,82.9
Kaj Roach,1988-06-30,Right Hand,Right-Arm Fast,West Indies,,37.0,36-40,All-Rounder,76,76,80,85,67,78.3
Kamran Akmal,1982-01-13,Right Hand,Unknown,Pakistan,,43.0,40+,Wicket Keeper,100,84,23,93,77,65.25
Kamran Khan,1991-03-10,Left Hand,Left-Arm Medium-Fast,India,,34.0,31-35,Bowler,64,60,88,88,85,75.65
Karanveer Singh,1987-11-08,Right Hand,Legbreak Googly,India,,38.0,36-40,All-Rounder,80,75,85,86,71,80.45
Kb Arun Karthik,1986-02-15,Right Hand,Legbreak Googly,India,,39.0,36-40,Bowler,84,54,78,73,60,68.55
Kc Cariappa,1994-04-13,Right Hand,Legbreak,India,,31.0,31-35,Bowler,52,56,80,89,85,70.4
Kc Sangakkara,1977-10-27,Left Hand,Right-Arm Offbreak,Sri Lanka,,48.0,40+,Bowler,100,56,92,77,64,76.55
Kd Karthik,1985-06-01,Right Hand,Unknown,India,,40.0,36-40,Wicket Keeper,88,74,34,91,77,64.1
Kh Devdhar,1989-12-14,Right Hand,Unknown,India,,36.0,36-40,Wicket Keeper,72,72,32,91,90,61.75
Kh Pandya,1991-03-24,Left Hand,Slow Left-Arm Orthodox,India,,34.0,31-35,All-Rounder,64,86,69,90,78,78.05
Kj Abbott,1987-06-18,Right Hand,Right-Arm Fast-Medium,South Africa,,38.0,36-40,Bowler,80,36,79,66,61,61.2
Kk Cooper,1989-02-16,Right Hand,Right-Arm Medium,West Indies,,36.0,36-40,All-Rounder,72,73,88,72,85,78.6
Kk Nair,1991-12-06,Right Hand,Right-Arm Offbreak,India,,34.0,31-35,All-Rounder,64,65,77,78,90,72.3
Kl Rahul,1992-04-18,Right Hand,Unknown,India,,33.0,31-35,Wicket Keeper,60,71,15,93,87,54.4
Km Asif,,Right Hand,Right-Arm Medium,Unknown,,39.0,36-40,All-Rounder,84,88,85,87,70,85.5
Km Jadhav,1985-03-26,Right Hand,Right-Arm Offbreak,India,,40.0,36-40,Bowler,88,45,83,89,67,70.3
Kmdn Kulasekara,1982-07-22,Right Hand,Right-Arm Fast-Medium,Sri Lanka,,43.0,40+,Bowler,100,61,78,68,81,72.9
Kp Appanna,1988-12-20,Right Hand,Slow Left-Arm Orthodox,India,,37.0,36-40,Bowler,76,48,80,64,74,65.7
Kp Pietersen,1980-06-27,Right Hand,Right-Arm Offbreak,South Africa,,45.0,40+,All-Rounder,100,75,65,94,64,76.3
Ks Williamson,1990-08-08,Right Hand,Right-Arm Offbreak,New Zealand,,35.0,31-35,Bowler,68,43,96,67,87,69.85
Kuldeep Yadav,1994-12-14,Left Hand,Slow Left-Arm Chinaman,India,,31.0,31-35,Bowler,52,33,91,89,92,66.55
Kv Sharma,1987-10-23,Left Hand,Legbreak Googly,India,,38.0,36-40,Bowler,80,62,95,82,63,78.4
Kw Richardson,1991-02-12,Right Hand,Right-Arm Fast-Medium,Australia,,34.0,31-35,All-Rounder,64,87,72,75,88,77.7
L Ablish,1982-12-03,Right Hand,Right-Arm Medium-Fast,India,,43.0,40+,Bowler,100,61,86,75,85,76.95
L Balaji,1981-09-27,Right Hand,Right-Arm Medium-Fast,India,,44.0,40+,Bowler,100,37,83,75,78,67.15
L Ferguson,,Right Hand,Right-Arm Fast,Unknown,,39.0,36-40,Bowler,84,49,86,80,74,71.35
L Livingstone,,Right Hand,Right-Arm Offbreak,Unknown,,39.0,36-40,Bowler,84,60,89,69,75,74.65
L Ngidi,,Right Hand,Slow Left-Arm Orthodox,Unknown,,39.0,36-40,Bowler,84,33,75,78,76,61.7
L Plunkett,,Right Hand,Right-Arm Fast,Unknown,,39.0,36-40,All-Rounder,84,73,69,91,82,75.85
L Ronchi,1981-04-23,Right Hand,Right-Arm Fast,Australia,,44.0,40+,Bowler,100,44,81,70,71,67.8
La Carseldine,2075-11-17,Left Hand,Legbreak,Australia,,39.0,36-40,Bowler,84,41,81,73,72,65.65
La Pomersbach,1984-09-28,Left Hand,Right-Arm Medium,Australia,,41.0,40+,All-Rounder,92,82,87,91,70,85.5
Lh Ferguson,,Right Hand,Right-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,46,89,69,70,69.5
Lj Wright,1985-03-07,Right Hand,Right-Arm Medium-Fast,England,,40.0,36-40,All-Rounder,88,73,72,81,85,75.95
Lmp Simmons,1985-01-25,Right Hand,Right-Arm Medium-Fast,West Indies,,40.0,36-40,Bowler,88,52,86,82,79,73.35
Lpc Silva,1979-12-14,Right Hand,Legbreak,Sri Lanka,,46.0,40+,Bowler,100,60,93,60,79,76.5
Lr Shukla,1981-05-06,Right Hand,Right-Arm Medium,India,,44.0,40+,Bowler,100,48,83,60,74,68.55
Lrpl Taylor,1984-03-08,Right Hand,Right-Arm Offbreak,New Zealand,,41.0,40+,Bowler,92,58,87,86,75,76.6
M Ali,,Left Hand,Right-Arm Offbreak,Unknown,,39.0,36-40,Bowler,84,58,82,62,65,69.95
M Ashwin,1990-09-08,Right Hand,Legbreak Googly,India,,35.0,31-35,Bowler,68,57,78,68,80,68.25
M De Lange,1990-10-13,Right Hand,Right-Arm Fast,South Africa,,35.0,31-35,All-Rounder,68,74,87,81,84,79.5
M Kaif,1980-12-01,Right Hand,Right-Arm Offbreak,India,,45.0,40+,All-Rounder,100,85,75,88,66,82.5
M Kartik,1976-09-11,Left Hand,Slow Left-Arm Orthodox,India,,49.0,40+,All-Rounder,100,79,72,90,85,80.6
M Klinger,1980-07-04,Right Hand,Unknown,Australia,,45.0,40+,Wicket Keeper,100,77,41,86,65,67.45
M Lomror,,Left Hand,Slow Left-Arm Orthodox,Unknown,,39.0,36-40,Bowler,84,61,79,73,69,71.8
M Manhas,1979-10-12,Right Hand,Right-Arm Offbreak,India,,46.0,40+,Bowler,100,59,75,85,65,72.9
M Markande,,Right Hand,Legbreak Googly,Unknown,,39.0,36-40,Bowler,84,50,80,61,73,66.7
M Morkel,1984-10-06,Left Hand,Right-Arm Fast,South Africa,,41.0,40+,Bowler,92,40,77,86,85,67.3
M Muralitharan,2072-04-17,Right Hand,Right-Arm Offbreak,Sri Lanka,,39.0,36-40,Bowler,84,33,82,73,66,62.9
M Ntini,1977-07-06,Right Hand,Right-Arm Fast,South Africa,,48.0,40+,Bowler,100,36,75,65,82,62.7
M Rawat,1985-10-25,Right Hand,Unknown,India,,40.0,36-40,Wicket Keeper,88,85,18,82,82,61.25
M Santner,,Left Hand,Slow Left-Arm Orthodox,Unknown,,39.0,36-40,All-Rounder,84,66,80,79,83,75.5
M Ur Rahman,,Right Hand,Right-Arm Offbreak,Unknown,,39.0,36-40,All-Rounder,84,70,65,79,76,71.3
M Vijay,1984-04-01,Right Hand,Right-Arm Offbreak,India,,41.0,40+,Bowler,92,56,80,63,63,69.4
M Vohra,1993-07-18,Right Hand,Right-Arm Medium,India,,32.0,31-35,Bowler,56,31,89,77,91,63.7
M Wood,,Right Hand,Right-Arm Fast,Unknown,,39.0,36-40,Bowler,84,37,87,63,81,65.3
Ma Agarwal,1991-02-16,Right Hand,Unknown,India,,34.0,31-35,Wicket Keeper,64,92,20,95,73,63.5
Ma Khote,1980-04-22,Right Hand,Right-Arm Medium,India,,45.0,40+,Bowler,100,35,78,74,75,64.4
Ma Starc,1990-01-30,Left Hand,Left-Arm Fast,Australia,,35.0,31-35,Bowler,68,46,76,61,82,62.75
Mandeep Singh,1991-12-18,Right Hand,Right-Arm Medium,India,,34.0,31-35,Bowler,64,53,82,79,77,69.35
Mashrafe Mortaza,1983-10-05,Right Hand,Right-Arm Fast-Medium,Bangladesh,,42.0,40+,All-Rounder,96,87,90,94,85,89.9
Mb Parmar,1988-04-12,Right Hand,Right-Arm Offbreak,India,,37.0,36-40,Bowler,76,49,92,86,73,73.5
Mc Henriques,1987-02-01,Right Hand,Right-Arm Fast-Medium,Australia,,38.0,36-40,Bowler,80,40,93,76,84,70.15
Mc Juneja,1990-09-12,Right Hand,Right-Arm Offbreak,India,,35.0,31-35,Bowler,68,55,92,82,82,74.65
Md Mishra,1984-02-09,Right Hand,Right-Arm Offbreak,India,,41.0,40+,Bowler,92,61,78,64,84,71.65
Mdkj Perera,1990-08-17,Left Hand,Unknown,Sri Lanka,,35.0,31-35,Wicket Keeper,68,71,45,98,89,66.55
Mek Hussey,2075-05-27,Left Hand,Right-Arm Medium,Australia,,39.0,36-40,Bowler,84,42,84,86,77,69.25
Mf Maharoof,1984-09-07,Right Hand,Right-Arm Fast-Medium,India,,41.0,40+,Bowler,92,44,77,78,85,67.5
Mg Johnson,1981-11-02,Left Hand,Left-Arm Fast,Australia,,44.0,40+,Bowler,100,53,91,88,82,77.7
Mg Neser,1990-03-29,Right Hand,Right-Arm Medium,Australia,,35.0,31-35,Bowler,68,34,95,84,78,68.45
Misbah-Ul-Haq,2074-05-28,Right Hand,Legbreak,Pakistan,,39.0,36-40,Bowler,84,57,78,75,66,70.2
Mj Clarke,1981-04-02,Right Hand,Slow Left-Arm Orthodox,Australia,,44.0,40+,Bowler,100,65,75,80,83,75.15
Mj Guptill,1986-09-30,Right Hand,Right-Arm Offbreak,New Zealand,,39.0,36-40,Bowler,84,34,94,64,65,66.05
Mj Henry,,Right Hand,Right-Arm Fast,Unknown,,39.0,36-40,Bowler,84,32,86,78,61,64.45
Mj Lumb,1980-02-12,Left Hand,Right-Arm Medium,England,,45.0,40+,Bowler,100,44,81,71,80,68.4
Mj Mcclenaghan,1986-06-11,Left Hand,Left-Arm Fast-Medium,New Zealand,,39.0,36-40,Bowler,84,34,95,80,81,69.6
Mk Pandey,1989-09-10,Right Hand,Right-Arm Medium,India,,36.0,36-40,All-Rounder,72,72,86,90,84,80.2
Mk Tiwary,1985-11-14,Right Hand,Legbreak Googly,India,,40.0,36-40,Bowler,88,39,87,82,75,68.95
Ml Hayden,2071-10-29,Left Hand,Right-Arm Medium,Australia,,39.0,36-40,Bowler,84,64,95,79,73,79.55
Mm Patel,1983-07-12,Right Hand,Right-Arm Medium-Fast,India,,42.0,40+,Bowler,96,40,95,80,61,71.9
Mm Sharma,1988-09-18,Right Hand,Right-Arm Medium,India,,37.0,36-40,All-Rounder,76,66,70,78,67,70.25
Mn Samuels,1981-02-05,Right Hand,Right-Arm Offbreak,West Indies,,44.0,40+,Bowler,100,60,89,61,67,74.65
Mn Van Wyk,1979-03-20,Right Hand,Slow Left-Arm Orthodox,South Africa,,46.0,40+,Bowler,100,51,95,68,66,74.6
Mohammad Ashraful,1984-07-07,Right Hand,Right-Arm Offbreak,Bangladesh,,41.0,40+,Bowler,92,60,92,63,77,75.7
Mohammad Asif,1982-12-20,Left Hand,Right-Arm Fast-Medium,Pakistan,,43.0,40+,Bowler,100,39,94,81,83,72.85
Mohammad Hafeez,1980-10-17,Right Hand,Right-Arm Offbreak,Pakistan,,45.0,40+,All-Rounder,100,75,71,71,62,74.85
Mohammad Nabi,,Right Hand,Right-Arm Offbreak,Unknown,,39.0,36-40,Bowler,84,49,89,60,60,68.7
Mohammed Shami,1990-09-03,Right Hand,Right-Arm Fast-Medium,India,,35.0,31-35,Bowler,68,49,92,64,81,69.8
Mohammed Siraj,,Right Hand,Right-Arm Fast,Unknown,,39.0,36-40,Bowler,84,45,76,77,85,66.55
Mp Stoinis,1989-08-16,Right Hand,Right-Arm Medium,Australia,,36.0,36-40,All-Rounder,72,84,68,86,84,77.5
Mr Marsh,1991-10-20,Right Hand,Right-Arm Medium,Australia,,34.0,31-35,Bowler,64,52,96,81,89,74.8
Ms Bisla,1984-12-27,Right Hand,Unknown,India,,41.0,40+,Wicket Keeper,92,89,20,95,64,64.8
Ms Dhoni,1981-07-07,Right Hand,Right-Arm Medium,India,,44.0,40+,Bowler,100,50,77,79,67,69.65
Ms Gony,1984-01-04,Right Hand,Right-Arm Medium,India,,41.0,40+,Bowler,92,51,80,60,77,67.9
Ms Wade,1987-12-26,Left Hand,Right-Arm Medium,Australia,,38.0,36-40,Bowler,80,44,85,73,70,67.6
Mustafizur Rahman,1995-09-06,Left Hand,Left-Arm Fast-Medium,Bangladesh,,30.0,26-30,All-Rounder,48,80,83,93,87,80.15
Mv Boucher,1976-12-03,Right Hand,Right-Arm Medium,South Africa,,49.0,40+,Bowler,100,50,77,87,67,70.85
N Naik,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,72,41,93,71,65.45
N Pooran,,Left Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,89,27,88,67,65.55
N Rana,1993-12-27,Left Hand,Right-Arm Offbreak,India,,32.0,31-35,Bowler,56,61,76,89,86,71.2
N Saini,1988-10-28,Right Hand,Right-Arm Fast,India,,37.0,36-40,Bowler,76,34,86,88,70,66.3
Nb Singh,,Right Hand,Right-Arm Fast,Unknown,,39.0,36-40,Bowler,84,62,95,90,85,81.1
Nd Doshi,1978-10-06,Right Hand,Slow Left-Arm Orthodox,India,,47.0,40+,Bowler,100,62,77,90,69,75.6
Niraj Patel,,Left Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,82,39,94,77,68.7
Nj Maddinson,1991-12-21,Left Hand,Slow Left-Arm Orthodox,Australia,,34.0,31-35,Bowler,64,45,84,81,72,67.3
Nj Rimmington,1982-11-11,Right Hand,Right-Arm Fast-Medium,Australia,,43.0,40+,Bowler,100,35,77,83,69,65.1
Nk Patel,1981-03-26,Left Hand,Unknown,India,,44.0,40+,Wicket Keeper,100,83,19,97,75,64.0
Nl Mccullum,1980-09-01,Right Hand,Right-Arm Offbreak,New Zealand,,45.0,40+,Bowler,100,37,86,66,78,66.85
Nltc Perera,1989-04-03,Left Hand,Right-Arm Medium-Fast,Sri Lanka,,36.0,36-40,Bowler,72,40,89,90,89,70.3
Nm Coulter-Nile,1987-10-11,Right Hand,Right-Arm Fast,Australia,,38.0,36-40,All-Rounder,80,80,83,81,70,80.7
Ns Naik,1994-11-09,Right Hand,Unknown,India,,31.0,31-35,Wicket Keeper,52,75,31,96,83,60.85
Nv Ojha,1983-07-20,Right Hand,Unknown,India,,42.0,40+,Wicket Keeper,96,83,24,85,60,62.8
O Thomas,,Right Hand,Right-Arm Fast,Unknown,,39.0,36-40,Bowler,84,42,81,82,72,67.35
Oa Shah,1978-10-22,Right Hand,Right-Arm Offbreak,England,,47.0,40+,Bowler,100,42,83,67,65,67.05
P Amarnath,1982-06-01,Right Hand,Right-Arm Medium,India,,43.0,40+,Bowler,100,30,82,80,63,64.35
P Awana,1986-07-19,Right Hand,Right-Arm Medium,India,,39.0,36-40,Bowler,84,37,96,72,79,69.7
P Chopra,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,72,33,81,84,61.5
P Dharmani,2074-09-27,Right Hand,Unknown,India,,39.0,36-40,Wicket Keeper,84,90,25,97,69,66.65
P Dogra,1984-11-19,Right Hand,Legbreak,India,,41.0,40+,Bowler,92,49,77,62,64,65.8
P Krishna,,Right Hand,Right-Arm Fast,Unknown,,39.0,36-40,Bowler,84,34,78,63,76,60.85
P Kumar,1986-10-02,Right Hand,Right-Arm Medium,India,,39.0,36-40,Bowler,84,57,96,77,77,77.35
P Negi,1993-01-06,Left Hand,Slow Left-Arm Orthodox,India,,32.0,31-35,Bowler,56,48,88,88,94,71.1
P Parameswaran,1985-05-30,Right Hand,Left-Arm Medium,India,,40.0,36-40,All-Rounder,88,70,87,74,76,78.65
P Prasanth,1985-05-22,Left Hand,Slow Left-Arm Orthodox,India,,40.0,36-40,Bowler,88,50,89,70,73,71.6
P R Barman,,Right Hand,Legbreak,Unknown,,39.0,36-40,All-Rounder,84,68,70,73,84,71.85
P Raj,,Right Hand,Left-Arm Medium,Unknown,,39.0,36-40,Bowler,84,57,76,63,80,68.4
P Sahu,1985-08-21,Right Hand,Legbreak Googly,India,,40.0,36-40,All-Rounder,88,72,88,91,68,81.85
P Shaw,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,86,16,81,65,59.5
P Suyal,1989-10-15,Right Hand,Left-Arm Medium,India,,36.0,36-40,Bowler,72,65,80,62,82,71.35
Pa Patel,1985-03-09,Left Hand,Unknown,India,,40.0,36-40,Wicket Keeper,88,70,30,93,77,61.6
Pa Reddy,1991-02-11,Right Hand,Legbreak,India,,34.0,31-35,All-Rounder,64,82,71,76,86,75.65
Pankaj Singh,1985-05-06,Right Hand,Right-Arm Medium-Fast,India,,40.0,36-40,All-Rounder,88,81,69,90,63,77.95
Parvez Rasool,1989-02-13,Right Hand,Right-Arm Offbreak,India,,36.0,36-40,Bowler,72,61,79,65,80,69.95
Pc Valthaty,1983-12-07,Right Hand,Right-Arm Medium,India,,42.0,40+,Bowler,96,30,86,82,67,65.85
Pd Collingwood,1976-05-26,Right Hand,Right-Arm Medium,England,,49.0,40+,Bowler,100,40,85,71,61,67.45
Pj Cummins,1993-05-08,Right Hand,Right-Arm Fast,Australia,,32.0,31-35,All-Rounder,56,83,68,74,87,73.9
Pj Sangwan,1990-11-05,Right Hand,Left-Arm Medium,India,,35.0,31-35,Bowler,68,40,76,71,84,62.25
Pm Sarvesh Kumar,1989-04-26,Right Hand,Right-Arm Medium,India,,36.0,36-40,All-Rounder,72,73,67,93,84,74.35
Pp Chawla,1988-12-24,Left Hand,Legbreak,India,,37.0,36-40,All-Rounder,76,85,88,78,71,83.4
Pp Ojha,1986-09-05,Left Hand,Slow Left-Arm Orthodox,India,,39.0,36-40,Bowler,84,63,96,78,75,79.5
Pr Shah,1987-11-03,Right Hand,Unknown,India,,38.0,36-40,Wicket Keeper,80,72,34,92,75,62.65
Psp Handscomb,1991-04-26,Right Hand,Unknown,Australia,,34.0,31-35,Wicket Keeper,64,89,12,91,90,59.9
Pv Tambe,2071-10-08,Right Hand,Legbreak,India,,39.0,36-40,All-Rounder,84,81,82,77,65,80.25
Q De Kock,1992-12-17,Left Hand,Unknown,South Africa,,33.0,31-35,Wicket Keeper,60,86,36,94,89,67.25
R Ashwin,1986-09-17,Right Hand,Right-Arm Offbreak,India,,39.0,36-40,All-Rounder,84,83,85,93,71,84.7
R Bhatia,1979-10-22,Right Hand,Right-Arm Medium-Fast,India,,46.0,40+,Bowler,100,59,93,85,85,80.2
R Bhui,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,92,16,84,61,61.85
R Bishnoi,1987-10-08,Right Hand,Right-Arm Medium-Fast,India,,38.0,36-40,Bowler,80,64,82,83,62,74.65
R Dhawan,1990-02-19,Right Hand,Right-Arm Medium-Fast,India,,35.0,31-35,Bowler,68,45,90,80,78,69.95
R Dravid,2073-01-11,Right Hand,Right-Arm Offbreak,India,,39.0,36-40,All-Rounder,84,78,70,87,85,77.5
R Mclaren,1983-02-09,Left Hand,Right-Arm Medium-Fast,South Africa,,42.0,40+,All-Rounder,96,78,84,71,70,80.45
R Ninan,1985-11-19,Right Hand,Right-Arm Offbreak,India,,40.0,36-40,Bowler,88,65,75,60,78,70.7
R Parag,,Right Hand,Legbreak,Unknown,,39.0,36-40,Bowler,84,32,95,79,81,68.75
R Rampaul,1984-10-15,Left Hand,Right-Arm Fast-Medium,West Indies,,41.0,40+,Bowler,92,49,89,71,62,71.25
R Salam,,Right Hand,Right-Arm Fast,Unknown,,39.0,36-40,Bowler,84,46,88,68,84,69.7
R Sathish,1981-01-14,Right Hand,Right-Arm Medium,India,,44.0,40+,Bowler,100,40,84,86,77,70.15
R Sharma,1987-04-30,Right Hand,Right-Arm Offbreak,India,,38.0,36-40,Bowler,80,31,82,78,76,63.05
R Shukla,1990-08-28,Right Hand,Right-Arm Medium,India,,35.0,31-35,Bowler,68,36,84,79,88,65.05
R Singh,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,80,29,83,68,62.4
R Tewatia,1993-05-20,Left Hand,Legbreak,India,,32.0,31-35,Bowler,56,36,89,78,95,65.8
R Vinay Kumar,1984-02-12,Right Hand,Right-Arm Medium,India,,41.0,40+,All-Rounder,92,80,87,70,69,81.6
Ra Jadeja,1988-12-06,Left Hand,Slow Left-Arm Orthodox,India,,37.0,36-40,Bowler,76,37,91,78,66,67.4
Ra Shaikh,1985-06-12,Left Hand,Left-Arm Medium,India,,40.0,36-40,All-Rounder,88,70,87,86,77,80.5
Ra Tripathi,,Right Hand,Right-Arm Medium,Unknown,,39.0,36-40,Bowler,84,62,92,85,68,78.45
Rashid Khan,,Right Hand,Legbreak Googly,Unknown,,39.0,36-40,Bowler,84,54,91,70,65,72.9
Rd Chahar,,Right Hand,Legbreak Googly,Unknown,,39.0,36-40,Bowler,84,45,81,90,78,69.9
Re Levi,1988-01-14,Right Hand,Right-Arm Medium,South Africa,,37.0,36-40,All-Rounder,76,76,87,73,81,79.65
Re Van Der Merwe,1984-12-31,Right Hand,Slow Left-Arm Orthodox,South Africa,,41.0,40+,Bowler,92,37,91,76,68,68.8
Rg More,1992-02-02,Right Hand,Right-Arm Medium,India,,33.0,31-35,Bowler,60,35,94,79,72,66.6
Rg Sharma,1987-04-30,Right Hand,Right-Arm Offbreak,India,,38.0,36-40,Bowler,80,37,94,83,78,70.2
Rj Harris,1979-10-11,Right Hand,Right-Arm Fast,Australia,,46.0,40+,Bowler,100,61,89,72,71,76.85
Rj Peterson,1979-08-04,Left Hand,Slow Left-Arm Orthodox,South Africa,,46.0,40+,Bowler,100,56,94,88,85,79.95
Rj Quiney,1982-08-20,Left Hand,Right-Arm Medium,Australia,,43.0,40+,All-Rounder,100,79,70,73,70,76.6
Rn Ten Doeschate,1980-06-30,Right Hand,Right-Arm Medium-Fast,Netherlands,,45.0,40+,Bowler,100,50,78,61,83,68.1
Rp Singh,1985-12-06,Right Hand,Left-Arm Fast-Medium,India,,40.0,36-40,Bowler,88,31,95,67,77,66.8
Rr Bhatkal,1985-09-01,Right Hand,Right-Arm Medium,India,,40.0,36-40,Bowler,88,56,87,61,72,71.6
Rr Bose,1979-02-27,Right Hand,Right-Arm Fast-Medium,India,,46.0,40+,All-Rounder,100,87,89,74,68,86.1
Rr Pant,1997-10-04,Left Hand,Unknown,India,,28.0,26-30,Wicket Keeper,40,70,12,95,88,51.35
Rr Powar,1978-05-20,Right Hand,Right-Arm Offbreak,India,,47.0,40+,All-Rounder,100,84,86,90,85,87.25
Rr Raje,1986-09-03,Right Hand,Right-Arm Fast-Medium,India,,39.0,36-40,Bowler,84,35,90,72,75,66.7
Rr Rossouw,1989-10-09,Left Hand,Right-Arm Offbreak,South Africa,,36.0,36-40,Bowler,72,51,96,90,81,76.2
Rr Sarwan,1980-06-23,Right Hand,Legbreak,West Indies,,45.0,40+,Bowler,100,63,82,63,74,73.9
Rs Bopara,1985-05-04,Right Hand,Right-Arm Medium,England,,40.0,36-40,All-Rounder,88,83,72,78,65,78.0
Rs Gavaskar,1976-02-20,Left Hand,Slow Left-Arm Orthodox,India,,49.0,40+,Bowler,100,48,81,77,73,70.35
Rs Sodhi,1980-10-18,Right Hand,Right-Arm Medium,India,,45.0,40+,Bowler,100,38,96,71,70,71.05
Rt Ponting,2074-12-19,Right Hand,Right-Arm Medium,Australia,,39.0,36-40,Bowler,84,36,92,74,62,67.4
Rv Gomez,1985-10-16,Right Hand,Right-Arm Medium,India,,40.0,36-40,All-Rounder,88,65,83,83,67,76.4
Rv Pawar,1979-09-06,Left Hand,Slow Left-Arm Orthodox,India,,46.0,40+,Bowler,100,45,92,90,72,75.05
Rv Uthappa,1985-11-11,Right Hand,Right-Arm Medium,India,,40.0,36-40,Bowler,88,31,79,65,74,60.75
Rw Price,1976-06-12,Right Hand,Slow Left-Arm Orthodox,Zimbabwea,,49.0,40+,Bowler,100,60,84,85,60,76.15
S Anirudha,1987-04-14,Right Hand,Unknown,India,,38.0,36-40,Wicket Keeper,80,73,19,96,71,58.15
S Aravind,1984-04-08,Left Hand,Left-Arm Medium-Fast,India,,41.0,40+,Bowler,92,61,83,87,71,76.2
S Badree,1981-03-09,Right Hand,Legbreak,West Indies,,44.0,40+,Bowler,100,42,82,62,71,66.25
S Badrinath,1980-08-30,Right Hand,Right-Arm Offbreak,India,,45.0,40+,Bowler,100,40,93,64,60,69.15
S Chanderpaul,2074-08-16,Left Hand,Legbreak,West Indies,,39.0,36-40,Bowler,84,45,83,65,66,66.25
S Curran,,Left Hand,Left-Arm Medium-Fast,Unknown,,39.0,36-40,Bowler,84,32,93,73,68,66.5
S Dhawan,1985-12-05,Left Hand,Right-Arm Offbreak,India,,40.0,36-40,All-Rounder,88,80,76,82,84,79.9
S Dube,,Left Hand,Right-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,37,76,65,71,61.25
S Gill,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,74,13,89,85,56.45
S Gopal,1993-09-04,Right Hand,Legbreak,India,,32.0,31-35,Bowler,56,61,90,66,86,72.65
S Hetmyer,,Left Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,82,19,91,80,61.4
S Kaul,1990-05-19,Right Hand,Right-Arm Medium,India,,35.0,31-35,Bowler,68,48,78,73,86,66.15
S Kaushik,1995-09-07,Right Hand,Slow Left-Arm Chinaman,India,,30.0,26-30,All-Rounder,48,67,78,91,88,73.6
S Kuggeleijn,,Right Hand,Right-Arm Fast,Unknown,,39.0,36-40,Bowler,84,30,94,67,81,65.9
S Ladda,1986-07-10,Right Hand,Legbreak,India,,39.0,36-40,All-Rounder,84,65,88,83,77,78.25
S Lamichhane,,Right Hand,Legbreak Googly,Unknown,,39.0,36-40,Bowler,84,39,76,83,61,64.15
S Mavi,,Right Hand,Right-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,61,89,88,63,77.25
S Midhun,,Unknown,Legbreak,Unknown,,39.0,36-40,Bowler,84,35,75,89,65,63.5
S Nadeem,1989-08-12,Right Hand,Slow Left-Arm Orthodox,India,,36.0,36-40,Bowler,72,48,79,89,89,69.45
